Histogram (GPU):
-9.696970 0 
-9.090909 0 
-8.484848 0 
-7.878788 0 
-7.272727 0 
-6.666667 0 
-6.060606 1 
-5.454545 11 
-4.848485 208 
-4.242424 3170 
-3.636364 31444 
-3.030303 226059 
-2.424242 1127979 
-1.818182 3926376 
-1.212121 9568497 
-0.606060 16325384 
0.000000 19512023 
0.606061 16323351 
1.212121 9557894 
1.818182 3928532 
2.424243 1126736 
3.030303 227184 
3.636364 31796 
4.242424 3142 
4.848485 198 
5.454546 13 
6.060606 2 
6.666667 0 
7.272728 0 
7.878788 0 
8.484849 0 
9.090910 0 
9.696970 0 
